album_id,nombre_album,artista_id,fecha_lanzamiento
550e8400-e29b-41d4-a716-446655440020,Parachutes,550e8400-e29b-41d4-a716-446655440010,2000-07-10
550e8400-e29b-41d4-a716-446655440021,Laundry Service,550e8400-e29b-41d4-a716-446655440011,2001-11-13
550e8400-e29b-41d4-a716-446655440022,After Hours,550e8400-e29b-41d4-a716-446655440012,2020-03-20
550e8400-e29b-41d4-a716-446655440023,25,550e8400-e29b-41d4-a716-446655440013,2015-11-20
550e8400-e29b-41d4-a716-446655440024,Divide,550e8400-e29b-41d4-a716-446655440014,2017-03-03
550e8400-e29b-41d4-a716-446655440025,1989,550e8400-e29b-41d4-a716-446655440015,2014-10-27
550e8400-e29b-41d4-a716-446655440026,24K Magic,550e8400-e29b-41d4-a716-446655440016,2016-11-18
550e8400-e29b-41d4-a716-446655440027,Scorpion,550e8400-e29b-41d4-a716-446655440017,2018-06-29
550e8400-e29b-41d4-a716-446655440028,Red Pill Blues,550e8400-e29b-41d4-a716-446655440018,2017-11-03
550e8400-e29b-41d4-a716-446655440029,When We All Fall Asleep, Where Do We Go?,550e8400-e29b-41d4-a716-446655440019,2019-03-29
550e8400-e29b-41d4-a716-44665544002a,Chromatica,550e8400-e29b-41d4-a716-44665544001a,2020-05-29
550e8400-e29b-41d4-a716-44665544002b,Hollywood's Bleeding,550e8400-e29b-41d4-a716-44665544001b,2019-09-06
550e8400-e29b-41d4-a716-44665544002c,Evolve,550e8400-e29b-41d4-a716-44665544001c,2017-06-23
550e8400-e29b-41d4-a716-44665544002d,Delirium,550e8400-e29b-41d4-a716-44665544001d,2015-11-06
550e8400-e29b-41d4-a716-44665544002e,In the Lonely Hour,550e8400-e29b-41d4-a716-44665544001e,2014-05-26
550e8400-e29b-41d4-a716-44665544002f,Changes,550e8400-e29b-41d4-a716-44665544001f,2020-02-14
550e8400-e29b-41d4-a716-446655440030,Smile,550e8400-e29b-41d4-a716-446655440020,2020-08-28
550e8400-e29b-41d4-a716-446655440031,Memories,550e8400-e29b-41d4-a716-446655440021,2020-10-02
550e8400-e29b-41d4-a716-446655440032,Starboy,550e8400-e29b-41d4-a716-446655440012,2016-11-25
550e8400-e29b-41d4-a716-446655440033,25,550e8400-e29b-41d4-a716-446655440013,2015-11-20
550e8400-e29b-41d4-a716-446655440034,Future Nostalgia,550e8400-e29b-41d4-a716-446655440023,2020-03-27
550e8400-e29b-41d4-a716-446655440035,The Greatest Showman,550e8400-e29b-41d4-a716-446655440022,2017-12-08
