cancion_id,titulo_cancion,album_id,duracion
550e8400-e29b-41d4-a716-446655440030,Yellow,550e8400-e29b-41d4-a716-446655440020,4:29
550e8400-e29b-41d4-a716-446655440031,Hips Don't Lie,550e8400-e29b-41d4-a716-446655440021,3:33
550e8400-e29b-41d4-a716-446655440032,Blinding Lights,550e8400-e29b-41d4-a716-446655440022,3:20
550e8400-e29b-41d4-a716-446655440033,Hello,550e8400-e29b-41d4-a716-446655440023,4:55
550e8400-e29b-41d4-a716-446655440034,Shape of You,550e8400-e29b-41d4-a716-446655440024,3:54
550e8400-e29b-41d4-a716-446655440035,Uptown Funk,550e8400-e29b-41d4-a716-446655440025,4:30
550e8400-e29b-41d4-a716-446655440036,Someone Like You,550e8400-e29b-41d4-a716-446655440026,4:45
550e8400-e29b-41d4-a716-446655440037,Can't Stop the Feeling!,550e8400-e29b-41d4-a716-446655440027,3:56
550e8400-e29b-41d4-a716-446655440038,Roar,550e8400-e29b-41d4-a716-446655440028,3:42
550e8400-e29b-41d4-a716-446655440039,Watermelon Sugar,550e8400-e29b-41d4-a716-446655440029,2:54
550e8400-e29b-41d4-a716-44665544003a,Perfect,550e8400-e29b-41d4-a716-44665544002a,4:23
550e8400-e29b-41d4-a716-44665544003b,Shake It Off,550e8400-e29b-41d4-a716-44665544002b,3:39
550e8400-e29b-41d4-a716-44665544003c,Don't Start Now,550e8400-e29b-41d4-a716-44665544002c,3:03
550e8400-e29b-41d4-a716-44665544003d,Starboy,550e8400-e29b-41d4-a716-44665544002d,3:50
550e8400-e29b-41d4-a716-44665544003e,Shallow,550e8400-e29b-41d4-a716-44665544002e,3:37
550e8400-e29b-41d4-a716-44665544003f,Levitating,550e8400-e29b-41d4-a716-44665544002f,3:23
550e8400-e29b-41d4-a716-446655440040,Memories,550e8400-e29b-41d4-a716-446655440030,3:09
550e8400-e29b-41d4-a716-446655440041,Don't Let Me Down,550e8400-e29b-41d4-a716-446655440031,3:28
550e8400-e29b-41d4-a716-446655440042,Attention,550e8400-e29b-41d4-a716-446655440032,3:31
550e8400-e29b-41d4-a716-446655440043,Adore You,550e8400-e29b-41d4-a716-446655440033,3:27
550e8400-e29b-41d4-a716-446655440044,Dusk Till Dawn,550e8400-e29b-41d4-a716-446655440034,3:57
550e8400-e29b-41d4-a716-446655440045,Midnight City,550e8400-e29b-41d4-a716-446655440035,4:03
550e8400-e29b-41d4-a716-446655440046,Counting Stars,550e8400-e29b-41d4-a716-446655440036,4:16
550e8400-e29b-41d4-a716-446655440047,Don't You Worry Child,550e8400-e29b-41d4-a716-446655440037,3:32
550e8400-e29b-41d4-a716-446655440048,We Don't Talk Anymore,550e8400-e29b-41d4-a716-446655440038,3:37
550e8400-e29b-41d4-a716-446655440049,Good 4 U,550e8400-e29b-41d4-a716-446655440039,2:58
550e8400-e29b-41d4-a716-44665544004a,Stay,550e8400-e29b-41d4-a716-44665544003a,3:55
550e8400-e29b-41d4-a716-44665544004b,No Tears Left to Cry,550e8400-e29b-41d4-a716-44665544003b,3:25
550e8400-e29b-41d4-a716-44665544004c,New Rules,550e8400-e29b-41d4-a716-44665544003c,3:29
550e8400-e29b-41d4-a716-44665544004d,I Like It,550e8400-e29b-41d4-a716-44665544003d,4:13
550e8400-e29b-41d4-a716-44665544004e,Rockstar,550e8400-e29b-41d4-a716-44665544003e,3:38
550e8400-e29b-41d4-a716-44665544004f,Sunflower,550e8400-e29b-41d4-a716-44665544003f,2:57
550e8400-e29b-41d4-a716-446655440050,Starships,550e8400-e29b-41d4-a716-446655440040,3:31
550e8400-e29b-41d4-a716-446655440051,Call Me Maybe,550e8400-e29b-41d4-a716-446655440041,3:13
550e8400-e29b-41d4-a716-446655440052,Trap Queen,550e8400-e29b-41d4-a716-446655440042,3:34
550e8400-e29b-41d4-a716-446655440053,Hotline Bling,550e8400-e29b-41d4-a716-446655440043,3:53
550e8400-e29b-41d4-a716-446655440054,One Dance,550e8400-e29b-41d4-a716-446655440044,2:54
550e8400-e29b-41d4-a716-446655440055,No Guidance,550e8400-e29b-41d4-a716-446655440045,4:18
550e8400-e29b-41d4-a716-446655440056,Senorita,550e8400-e29b-41d4-a716-446655440046,3:11
550e8400-e29b-41d4-a716-446655440057,Old Town Road,550e8400-e29b-41d4-a716-446655440047,2:37
550e8400-e29b-41d4-a716-446655440058,Sunflower,550e8400-e29b-41d4-a716-446655440048,2:57
550e8400-e29b-41d4-a716-446655440059,Sicko Mode,550e8400-e29b-41d4-a716-446655440049,5:12
550e8400-e29b-41d4-a716-44665544005a,Thank U, Next,550e8400-e29b-41d4-a716-44665544004a,3:27
550e8400-e29b-41d4-a716-44665544005b,God's Plan,550e8400-e29b-41d4-a716-44665544004b,3:19
550e8400-e29b-41d4-a716-44665544005c,In My Feelings,550e8400-e29b-41d4-a716-44665544004c,3:37
550e8400-e29b-41d4-a716-44665544005d,Lucid Dreams,550e8400-e29b-41d4-a716-44665544004d,4:00
550e8400-e29b-41d4-a716-44665544005e,Hotline Bling,550e8400-e29b-41d4-a716-44665544004e,3:53
550e8400-e29b-41d4-a716-44665544005f,7 Years,550e8400-e29b-41d4-a716-44665544004f,3:54
550e8400-e29b-41d4-a716-446655440060,Let Her Go,550e8400-e29b-41d4-a716-446655440050,4:09
